step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
1,2,0.48,3,0.0,0.0,2,0,26,0.5
2,3,0.94,4,0.19047619047619047,0.0,5,0,52,0.5
3,10,1.26,6,0.24074074074074073,0.0,15,0,78,0.5
4,13,1.42,8,0.2909090909090909,0.02,28,0,99,0.5
5,13,1.68,9,0.3333333333333333,0.02,41,0,125,0.5
6,11,1.88,9,0.3492063492063492,0.06,52,2,148,0.5
7,14,2.0,10,0.35384615384615387,0.1,66,6,172,0.5
8,14,2.08,9,0.4032258064516129,0.1,80,10,194,0.5
9,13,2.22,10,0.38333333333333336,0.1,93,12,216,0.5
10,12,2.28,10,0.3870967741935484,0.08,105,19,238,0.5
11,11,2.28,10,0.4166666666666667,0.12,116,26,256,0.5
12,17,2.32,10,0.3484848484848485,0.14,133,33,282,0.5
13,14,2.3,10,0.3125,0.18,147,41,303,0.5
14,16,2.24,10,0.38596491228070173,0.16,163,51,326,0.5
15,12,2.3,10,0.38181818181818183,0.16,175,59,349,0.5
16,17,2.36,10,0.43103448275862066,0.16,192,63,373,0.5
17,11,2.44,10,0.4166666666666667,0.16,203,75,400,0.5
18,16,2.54,10,0.41935483870967744,0.16,219,82,428,0.5
19,17,2.62,10,0.36363636363636365,0.18,236,90,457,0.5
20,15,2.64,10,0.40625,0.18,251,101,484,0.5
21,12,2.72,10,0.4166666666666667,0.18,263,107,506,0.5
22,18,2.72,10,0.421875,0.16,281,116,533,0.5
23,14,2.66,10,0.45161290322580644,0.16,295,127,555,0.5
24,11,2.66,10,0.48214285714285715,0.16,306,137,576,0.5
25,9,2.8,10,0.46551724137931033,0.2,315,147,602,0.5
26,11,2.94,10,0.4406779661016949,0.22,326,156,629,0.5
27,17,2.9,10,0.43548387096774194,0.22,343,167,655,0.5
28,15,2.82,10,0.4098360655737705,0.2,358,177,676,0.5
29,13,2.72,10,0.41379310344827586,0.18,371,189,696,0.5
30,12,2.68,10,0.43636363636363634,0.18,383,198,715,0.5
31,9,2.8,10,0.42857142857142855,0.18,392,205,737,0.5
32,14,2.68,10,0.42857142857142855,0.18,406,215,755,0.5
33,15,2.64,10,0.32786885245901637,0.16,421,223,776,0.5
34,13,2.7,10,0.3793103448275862,0.18,434,228,797,0.5
35,16,2.62,10,0.5,0.18,450,232,813,0.5
36,15,2.68,10,0.4098360655737705,0.18,465,243,842,0.5
