step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
1,1,0.5,3,0.0,0.0,1,0,26,0.5
2,4,0.94,4,0.19047619047619047,0.0,5,0,52,0.5
3,11,1.24,6,0.29411764705882354,0.0,16,0,78,0.48
4,12,1.4,8,0.2777777777777778,0.02,28,0,98,0.4658
5,17,1.6,8,0.25396825396825395,0.02,45,0,125,0.44789999999999996
6,10,1.84,9,0.3220338983050847,0.06,55,0,147,0.4357
7,16,1.96,10,0.3125,0.06,71,0,169,0.4205125
8,19,1.9,8,0.3389830508474576,0.04,90,0,185,0.41331874999999996
9,9,2.04,9,0.36666666666666664,0.02,99,0,201,0.406959375
10,10,2.28,10,0.3194444444444444,0.02,109,0,223,0.39521875
11,15,2.26,10,0.43283582089552236,0.02,124,1,238,0.3855484375
12,11,2.46,9,0.4411764705882353,0.02,135,1,259,0.37564453125
13,14,2.56,8,0.4383561643835616,0.02,149,1,278,0.36058984375
14,12,2.66,10,0.49230769230769234,0.06,161,1,295,0.35447343750000004
15,18,2.66,10,0.4492753623188406,0.1,179,2,314,0.33819414062500003
16,12,2.72,10,0.417910447761194,0.06,191,6,333,0.3333447265625
17,13,2.74,9,0.3939393939393939,0.06,204,7,348,0.32721318359374996
18,12,2.78,8,0.46875,0.04,216,9,364,0.325947412109375
19,10,3.02,10,0.44285714285714284,0.08,226,9,386,0.3118552978515625
20,7,3.36,10,0.6031746031746031,0.1,233,9,410,0.2957029296875
21,6,3.44,9,0.640625,0.08,239,10,421,0.2741037963867187
22,9,3.54,10,0.6142857142857143,0.08,248,10,435,0.26298989868164063
23,9,3.5,10,0.5774647887323944,0.08,257,16,448,0.25673869934082033
24,12,3.42,10,0.5735294117647058,0.12,269,21,461,0.25698029937744143
25,10,3.44,10,0.6333333333333333,0.16,279,22,473,0.2602780075073242
26,10,3.48,10,0.5833333333333334,0.1,289,23,486,0.2621006042480469
27,6,3.7,10,0.7,0.08,295,24,504,0.2450593566894531
28,11,3.7,10,0.6290322580645161,0.1,306,25,516,0.22356386947631837
29,6,3.82,10,0.5441176470588235,0.12,312,27,530,0.20959153652191162
30,5,4.04,10,0.5967741935483871,0.18,317,28,547,0.20276693925857545
31,6,4.16,10,0.6231884057971014,0.1,323,32,563,0.19068584084510803
32,6,4.1,10,0.6197183098591549,0.12,329,38,572,0.184896391415596
33,4,4.08,10,0.7164179104477612,0.12,333,43,580,0.18430465255975723
34,9,3.94,10,0.6081081081081081,0.12,342,50,589,0.18156585901379585
35,6,4.04,10,0.6615384615384615,0.18,348,50,600,0.18250302962362766
36,6,3.98,9,0.6571428571428571,0.14,354,53,606,0.17749682933837174
37,7,4.0,10,0.7727272727272727,0.08,361,53,614,0.17662379175499082
38,10,3.88,10,0.6617647058823529,0.12,371,54,619,0.17267713542655108
39,7,3.86,10,0.6875,0.12,378,57,628,0.1715406953729689
40,6,3.92,10,0.6666666666666666,0.16,384,58,638,0.173468424339965
41,7,3.86,10,0.703125,0.14,391,66,650,0.17590332955215124
42,8,3.86,10,0.7,0.14,399,66,658,0.1761534548495896
43,7,3.86,10,0.7288135593220338,0.16,406,68,667,0.17606778834038417
44,6,3.96,10,0.6984126984126984,0.12,412,71,681,0.16534570965331516
45,8,3.88,10,0.6984126984126984,0.08,420,72,686,0.15553717070674758
46,7,3.86,10,0.7096774193548387,0.08,427,72,692,0.15239721959294403
47,8,3.76,9,0.71875,0.1,435,74,697,0.15280013260045672
48,9,3.74,10,0.6363636363636364,0.06,444,74,705,0.15269689565902228
49,9,3.64,10,0.6865671641791045,0.06,453,75,710,0.15383932560407848
50,6,3.64,10,0.7164179104477612,0.08,459,79,720,0.15564224130283255
51,11,3.46,10,0.5970149253731343,0.12,470,83,726,0.15974067625145036
52,12,3.26,10,0.559322033898305,0.14,482,89,734,0.1664016211974089
53,9,3.2,9,0.603448275862069,0.1,491,90,741,0.17335139225365728
54,7,3.22,10,0.5573770491803278,0.04,498,92,751,0.17961986089967258
55,10,3.12,8,0.5161290322580645,0.02,508,92,756,0.18334894680903094
56,7,3.06,10,0.5245901639344263,0.06,515,94,762,0.18961670766955724
57,10,3.06,10,0.55,0.1,525,98,776,0.19388927481441634
58,8,3.0,10,0.6206896551724138,0.08,533,101,784,0.20072590077976735
59,8,3.0,10,0.6290322580645161,0.02,541,104,795,0.20417796053243195
60,11,2.96,8,0.4782608695652174,0.1,552,105,805,0.2070422739085946
61,10,2.98,10,0.5423728813559322,0.06,562,108,819,0.20772911498265917
62,8,2.94,10,0.5636363636363636,0.08,570,110,827,0.21112069161671054
63,7,2.98,10,0.5166666666666667,0.04,577,110,836,0.21631320206224752
64,9,2.94,10,0.5423728813559322,0.08,586,112,845,0.22217125631260573
65,11,2.84,8,0.5862068965517241,0.06,597,118,857,0.2294811428127848
66,9,2.82,10,0.5084745762711864,0.04,606,121,868,0.23311488354338494
67,10,2.78,10,0.4032258064516129,0.1,616,123,878,0.24005511001576182
68,9,2.8,9,0.45161290322580644,0.08,625,124,889,0.24505415558398447
69,10,2.78,9,0.4918032786885246,0.12,635,125,899,0.2521957275532414
70,17,2.56,10,0.463768115942029,0.08,652,130,910,0.26002925149685774
71,8,2.64,9,0.4461538461538462,0.02,660,131,923,0.2655229668588984
72,9,2.64,10,0.5081967213114754,0.06,669,135,936,0.2705542329162524
73,8,2.7,9,0.5,0.08,677,136,948,0.27570836939656446
74,7,2.88,9,0.4827586206896552,0.08,684,136,964,0.2658960398027068
75,7,2.96,10,0.6428571428571429,0.04,691,139,978,0.26521130579704055
76,12,3.02,10,0.49295774647887325,0.08,703,139,993,0.26575436777472156
77,9,3.1,10,0.4857142857142857,0.08,712,142,1009,0.2633809755172718
78,8,3.22,10,0.5362318840579711,0.04,720,144,1025,0.26501745313455943
79,11,3.28,9,0.5633802816901409,0.08,731,145,1040,0.2603874252207366
80,12,3.26,10,0.5555555555555556,0.1,743,149,1055,0.26103881090906117
81,13,3.3,9,0.6060606060606061,0.06,756,149,1070,0.24792755061039537
82,6,3.34,10,0.6229508196721312,0.06,762,150,1079,0.24064125369265504
83,12,3.34,10,0.5522388059701493,0.08,774,154,1095,0.2381790557359384
84,10,3.3,9,0.639344262295082,0.06,784,157,1106,0.23050637142117936
85,7,3.36,10,0.603448275862069,0.14,791,158,1117,0.22931390504076052
86,11,3.26,10,0.515625,0.12,802,165,1130,0.2292744134131809
87,6,3.34,10,0.515625,0.08,808,165,1140,0.22720678428449315
88,9,3.46,10,0.6290322580645161,0.08,817,166,1156,0.2238883793278144
89,10,3.4,10,0.5692307692307692,0.08,827,171,1168,0.22505584513397112
90,6,3.46,10,0.5967741935483871,0.1,833,173,1179,0.22429737300013688
91,7,3.54,10,0.6507936507936508,0.08,840,176,1193,0.22305403370413468
