step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
1,1,0.06,1,0.0,0.0,1,0,4,0.08
2,2,0.1,1,0.16666666666666666,0.0,3,0,8,0.08
3,1,0.18,1,0.1111111111111111,0.0,4,0,13,0.08
4,2,0.2,3,0.0,0.0,6,0,16,0.08
5,3,0.26,2,0.06666666666666667,0.0,9,0,22,0.08
6,2,0.24,2,0.16666666666666666,0.0,11,0,23,0.08
7,6,0.2,2,0.0,0.0,17,0,27,0.08
8,6,0.18,2,0.07142857142857142,0.0,23,0,32,0.08
9,2,0.26,2,0.07142857142857142,0.0,25,0,38,0.08
10,4,0.28,3,0.2,0.0,29,0,43,0.08
11,4,0.32,2,0.05263157894736842,0.0,33,0,49,0.08
12,6,0.32,3,0.1,0.0,39,0,55,0.08
13,5,0.32,2,0.10526315789473684,0.0,44,0,60,0.08
14,6,0.26,3,0.05555555555555555,0.0,50,0,63,0.08
15,7,0.2,3,0.13333333333333333,0.0,57,0,67,0.08
16,4,0.18,1,0.08333333333333333,0.0,61,0,70,0.08
17,3,0.18,2,0.09090909090909091,0.0,64,0,73,0.08
18,2,0.18,2,0.0,0.0,66,0,75,0.08
19,3,0.24,1,0.0,0.0,69,0,81,0.08
20,7,0.2,2,0.0,0.0,76,0,86,0.08
21,3,0.22,2,0.07692307692307693,0.0,79,0,90,0.08
22,2,0.24,2,0.0,0.0,81,0,93,0.08
23,6,0.16,2,0.0,0.0,87,0,95,0.08
24,3,0.18,2,0.0,0.0,90,0,99,0.08
25,3,0.2,1,0.08333333333333333,0.0,93,0,103,0.08
26,7,0.12,2,0.0,0.0,100,0,106,0.08
27,3,0.16,2,0.0,0.0,103,0,111,0.08
28,1,0.22,3,0.0,0.0,104,0,115,0.08
29,5,0.24,1,0.0,0.0,109,0,121,0.08
30,6,0.28,2,0.0,0.0,115,0,129,0.08
31,4,0.24,2,0.06666666666666667,0.0,119,0,131,0.08
32,2,0.3,2,0.0,0.0,121,0,136,0.08
33,6,0.26,1,0.11764705882352941,0.0,127,0,140,0.08
34,6,0.2,2,0.0,0.0,133,0,143,0.08
35,4,0.18,3,0.0,0.0,137,0,146,0.08
36,3,0.18,2,0.09090909090909091,0.0,140,0,149,0.08
37,2,0.26,3,0.15384615384615385,0.0,142,0,155,0.08
38,6,0.18,2,0.07142857142857142,0.0,148,0,157,0.08
39,4,0.24,3,0.14285714285714285,0.0,152,0,164,0.08
40,1,0.28,4,0.16666666666666666,0.0,153,0,167,0.08
41,3,0.34,3,0.05555555555555555,0.0,156,0,173,0.08
42,8,0.24,3,0.1111111111111111,0.0,164,0,176,0.08
43,7,0.2,1,0.0,0.0,171,0,181,0.08
44,3,0.22,2,0.07692307692307693,0.0,174,0,185,0.08
45,5,0.2,1,0.0,0.0,179,0,189,0.08
46,5,0.22,3,0.0,0.0,184,0,195,0.08
47,3,0.2,2,0.08333333333333333,0.0,187,0,197,0.08
48,5,0.16,1,0.0,0.0,192,0,200,0.08
49,3,0.14,1,0.0,0.0,195,0,202,0.08
50,3,0.14,1,0.1111111111111111,0.0,198,0,205,0.08
51,2,0.16,2,0.0,0.0,200,0,208,0.08
52,4,0.22,2,0.07142857142857142,0.0,204,0,215,0.08
53,0,0.34,4,0.0625,0.0,204,0,221,0.08
54,6,0.34,4,0.15,0.0,210,0,227,0.08
55,5,0.36,2,0.21052631578947367,0.0,215,0,233,0.08
56,6,0.3,3,0.05,0.0,221,0,236,0.08
57,7,0.28,3,0.10526315789473684,0.0,228,0,242,0.08
58,4,0.3,2,0.11764705882352941,0.0,232,0,247,0.08
59,5,0.34,2,0.0,0.0,237,0,254,0.08
60,9,0.24,2,0.05,0.0,246,0,258,0.08
61,3,0.24,3,0.15384615384615385,0.0,249,0,261,0.08
62,7,0.16,2,0.0,0.0,256,0,264,0.08
63,3,0.22,2,0.0,0.0,259,0,270,0.08
64,5,0.18,1,0.07692307692307693,0.0,264,0,273,0.08
65,3,0.18,1,0.0,0.0,267,0,276,0.08
66,3,0.16,1,0.0,0.0,270,0,278,0.08
67,3,0.12,1,0.0,0.0,273,0,279,0.08
68,2,0.18,2,0.0,0.0,275,0,284,0.08
69,3,0.2,2,0.08333333333333333,0.0,278,0,288,0.08
70,1,0.3,2,0.06666666666666667,0.0,279,0,294,0.08
71,5,0.2,2,0.15384615384615385,0.0,284,0,294,0.08
72,2,0.24,2,0.2727272727272727,0.0,286,0,298,0.08
73,4,0.22,2,0.07142857142857142,0.0,290,0,301,0.08
74,6,0.2,2,0.06666666666666667,0.0,296,0,306,0.08
75,2,0.26,3,0.07142857142857142,0.0,298,0,311,0.08
76,3,0.22,2,0.16666666666666666,0.0,301,0,312,0.08
77,3,0.26,4,0.06666666666666667,0.0,304,0,317,0.08
78,5,0.22,4,0.07142857142857142,0.0,309,0,320,0.08
79,3,0.18,3,0.1,0.0,312,0,321,0.08
80,1,0.22,2,0.2,0.0,313,0,324,0.08
81,5,0.16,2,0.08333333333333333,0.0,318,0,326,0.08
82,2,0.24,2,0.07692307692307693,0.0,320,0,332,0.08
83,4,0.22,4,0.07142857142857142,0.0,324,0,335,0.08
84,4,0.2,3,0.08333333333333333,0.0,328,0,338,0.08
85,7,0.16,1,0.07142857142857142,0.0,335,0,343,0.08
86,3,0.18,2,0.09090909090909091,0.0,338,0,347,0.08
87,3,0.2,2,0.0,0.0,341,0,351,0.08
88,5,0.26,2,0.0,0.0,346,0,359,0.08
89,3,0.26,3,0.14285714285714285,0.0,349,0,362,0.08
90,6,0.24,2,0.058823529411764705,0.0,355,0,367,0.08
91,3,0.24,3,0.07142857142857142,0.0,358,0,370,0.08
92,3,0.3,3,0.058823529411764705,0.0,361,0,376,0.08
93,6,0.26,3,0.11764705882352941,0.0,367,0,380,0.08
94,3,0.32,4,0.125,0.0,370,0,386,0.08
95,3,0.26,4,0.16666666666666666,0.0,373,0,386,0.08
96,5,0.26,4,0.21428571428571427,0.0,378,0,391,0.08
97,5,0.2,2,0.15384615384615385,0.0,383,0,393,0.08
98,3,0.26,3,0.06666666666666667,0.0,386,0,399,0.08
99,5,0.28,3,0.11764705882352941,0.0,391,0,405,0.08
100,5,0.22,3,0.14285714285714285,0.0,396,0,407,0.08
101,3,0.22,4,0.07692307692307693,0.0,399,0,410,0.08
102,1,0.24,2,0.3,0.0,400,0,412,0.08
103,6,0.2,2,0.14285714285714285,0.0,406,0,416,0.08
104,5,0.2,2,0.07142857142857142,0.0,411,0,421,0.08
105,2,0.2,2,0.09090909090909091,0.0,413,0,423,0.08
106,6,0.22,3,0.0,0.0,419,0,430,0.08
107,3,0.22,3,0.16666666666666666,0.0,422,0,433,0.08
108,5,0.22,3,0.14285714285714285,0.0,427,0,438,0.08
109,3,0.3,2,0.125,0.0,430,0,445,0.08
110,2,0.3,2,0.0625,0.0,432,0,447,0.08
111,3,0.28,3,0.13333333333333333,0.0,435,0,449,0.08
112,3,0.32,3,0.058823529411764705,0.0,438,0,454,0.08
113,6,0.28,2,0.17647058823529413,0.0,444,0,458,0.08
114,3,0.28,3,0.0625,0.0,447,0,461,0.08
115,4,0.32,3,0.17647058823529413,0.0,451,0,467,0.08
116,5,0.26,3,0.125,0.0,456,0,469,0.08
117,5,0.22,1,0.0,0.0,461,0,472,0.08
118,6,0.16,2,0.0,0.0,467,0,475,0.08
119,0,0.2,2,0.1111111111111111,0.0,467,0,477,0.08
120,5,0.1,2,0.1111111111111111,0.0,472,0,477,0.08
121,2,0.16,2,0.125,0.0,474,0,482,0.08
122,2,0.22,2,0.08333333333333333,0.0,476,0,487,0.08
123,5,0.22,2,0.06666666666666667,0.0,481,0,492,0.08
124,1,0.28,3,0.07142857142857142,0.0,482,0,496,0.08
125,5,0.28,2,0.05555555555555555,0.0,487,0,501,0.08
126,5,0.34,2,0.1,0.0,492,0,509,0.08
127,5,0.3,3,0.05263157894736842,0.0,497,0,512,0.08
128,6,0.32,3,0.047619047619047616,0.0,503,0,519,0.08
129,3,0.34,2,0.17647058823529413,0.0,506,0,523,0.08
130,9,0.26,3,0.1,0.0,515,0,528,0.08
131,3,0.32,3,0.125,0.0,518,0,534,0.08
132,6,0.26,3,0.21428571428571427,0.0,524,0,537,0.08
133,3,0.24,3,0.16666666666666666,0.0,527,0,539,0.08
134,3,0.3,3,0.13333333333333333,0.0,530,0,545,0.08
135,4,0.3,3,0.125,0.0,534,0,549,0.08
136,4,0.28,3,0.21428571428571427,0.0,538,0,552,0.08
137,4,0.34,3,0.05263157894736842,0.0,542,0,559,0.08
138,5,0.24,5,0.14285714285714285,0.0,547,0,559,0.08
139,6,0.18,3,0.08333333333333333,0.0,553,0,562,0.08
140,3,0.18,3,0.1,0.0,556,0,565,0.08
141,4,0.22,3,0.07692307692307693,0.0,560,0,571,0.08
