step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
1,0,0.08,1,0.0,0.0,0,0,4,0.08
2,0,0.16,2,0.0,0.0,0,0,8,0.08
3,3,0.2,2,0.08333333333333333,0.0,3,0,13,0.08
4,4,0.18,2,0.0,0.0,7,0,16,0.08
5,3,0.24,2,0.0,0.0,10,0,22,0.08
6,5,0.16,2,0.0,0.0,15,0,23,0.08
7,3,0.18,2,0.0,0.0,18,0,27,0.08
8,4,0.2,2,0.07692307692307693,0.0,22,0,32,0.08
9,4,0.24,2,0.0,0.0,26,0,38,0.08
10,3,0.28,2,0.0,0.0,29,0,43,0.08
11,3,0.34,3,0.05263157894736842,0.0,32,0,49,0.08
12,5,0.36,4,0.2222222222222222,0.0,37,0,55,0.08
13,3,0.4,2,0.2777777777777778,0.0,40,0,60,0.08
14,6,0.34,3,0.21052631578947367,0.0,46,0,63,0.08
15,4,0.36,3,0.1,0.0,50,0,68,0.08
16,5,0.28,3,0.11764705882352941,0.0,55,0,69,0.08
17,4,0.26,3,0.0625,0.0,59,0,72,0.08
18,3,0.22,3,0.08333333333333333,0.0,62,0,73,0.08
19,7,0.2,3,0.0625,0.0,69,0,79,0.08
20,4,0.24,2,0.14285714285714285,0.0,73,0,85,0.08
21,3,0.24,1,0.07142857142857142,0.0,76,0,88,0.08
22,2,0.3,3,0.0625,0.0,78,0,93,0.08
23,7,0.2,3,0.0625,0.0,85,0,95,0.08
24,3,0.22,2,0.0,0.0,88,0,99,0.08
25,5,0.2,2,0.07142857142857142,0.0,93,0,103,0.08
26,3,0.2,2,0.08333333333333333,0.0,96,0,106,0.08
27,3,0.24,3,0.07142857142857142,0.0,99,0,111,0.08
28,1,0.3,3,0.06666666666666667,0.0,100,0,115,0.08
29,5,0.32,3,0.1111111111111111,0.0,105,0,121,0.08
30,5,0.38,4,0.2,0.0,110,0,129,0.08
31,7,0.28,3,0.16666666666666666,0.0,117,0,131,0.08
32,4,0.3,2,0.11764705882352941,0.0,121,0,136,0.08
33,4,0.3,2,0.05555555555555555,0.0,125,0,140,0.08
34,9,0.16,2,0.0625,0.0,134,0,142,0.08
35,3,0.18,1,0.09090909090909091,0.0,137,0,146,0.08
36,4,0.16,1,0.09090909090909091,0.0,141,0,149,0.08
37,2,0.22,3,0.0,0.0,143,0,154,0.08
38,6,0.16,2,0.0,0.0,149,0,157,0.08
39,3,0.24,3,0.15384615384615385,0.0,152,0,164,0.08
40,2,0.26,2,0.0,0.0,154,0,167,0.08
41,4,0.3,2,0.05555555555555555,0.0,158,0,173,0.08
42,8,0.2,2,0.0,0.0,166,0,176,0.08
43,3,0.24,2,0.07142857142857142,0.0,169,0,181,0.08
44,6,0.2,3,0.0,0.0,175,0,185,0.08
45,6,0.16,1,0.0,0.0,181,0,189,0.08
46,2,0.24,3,0.0,0.0,183,0,195,0.08
47,2,0.22,2,0.08333333333333333,0.0,185,0,196,0.08
48,2,0.24,2,0.0,0.0,187,0,199,0.08
49,6,0.16,1,0.07692307692307693,0.0,193,0,201,0.08
50,5,0.12,1,0.1,0.0,198,0,204,0.08
51,4,0.1,1,0.0,0.0,202,0,207,0.08
52,4,0.16,2,0.0,0.0,206,0,214,0.08
53,1,0.26,3,0.0,0.0,207,0,220,0.08
54,1,0.36,2,0.11764705882352941,0.0,208,0,226,0.08
55,6,0.36,5,0.2,0.0,214,0,232,0.07919999999999999
56,6,0.3,4,0.17647058823529413,0.0,220,0,235,0.0796
57,4,0.34,4,0.16666666666666666,0.0,224,0,241,0.08
58,5,0.34,3,0.10526315789473684,0.0,229,0,246,0.08
59,4,0.4,5,0.21052631578947367,0.0,233,0,253,0.07919999999999999
60,7,0.34,5,0.09523809523809523,0.0,240,0,257,0.0788
61,9,0.22,3,0.05555555555555555,0.0,249,0,260,0.07919999999999999
62,6,0.16,2,0.08333333333333333,0.0,255,0,263,0.0796
63,3,0.22,3,0.16666666666666666,0.0,258,0,269,0.08
64,3,0.22,2,0.07692307692307693,0.0,261,0,272,0.08
65,4,0.2,2,0.16666666666666666,0.0,265,0,275,0.08
66,2,0.2,3,0.2,0.0,267,0,277,0.08
67,2,0.18,4,0.1,0.0,269,0,278,0.08
68,5,0.18,2,0.07692307692307693,0.0,274,0,283,0.08
