step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
1,2,0.18,1,0.0,0.0,2,0,11,0.25
2,2,0.56,3,0.0,0.0,4,0,32,0.25
3,8,0.62,5,0.1935483870967742,0.0,12,0,43,0.25
4,10,0.72,4,0.15384615384615385,0.0,22,0,58,0.25
5,9,0.68,4,0.13513513513513514,0.0,31,0,65,0.25
6,10,0.86,5,0.10869565217391304,0.0,41,0,84,0.25
7,9,0.96,6,0.20930232558139536,0.0,50,0,98,0.25
8,11,0.96,6,0.3333333333333333,0.0,61,0,109,0.25
9,7,1.1,7,0.2926829268292683,0.0,68,0,123,0.25
10,11,1.16,7,0.3111111111111111,0.0,79,0,137,0.25
11,12,1.1,7,0.27906976744186046,0.0,91,0,146,0.25
12,16,1.08,8,0.2608695652173913,0.04,107,0,161,0.25
13,7,1.18,9,0.2564102564102564,0.04,114,0,173,0.25
14,10,1.14,10,0.2564102564102564,0.04,124,1,182,0.25
15,11,1.14,10,0.2564102564102564,0.06,135,1,193,0.25
16,8,1.14,10,0.23684210526315788,0.04,143,5,205,0.25
17,8,1.1,10,0.30303030303030304,0.06,151,7,213,0.25
18,9,1.2,10,0.1951219512195122,0.02,160,8,228,0.25
19,13,1.22,10,0.20454545454545456,0.04,173,8,242,0.25
20,9,1.32,10,0.2926829268292683,0.08,182,10,258,0.25
21,9,1.36,10,0.325,0.08,191,14,273,0.25
22,11,1.26,10,0.3684210526315789,0.08,202,17,282,0.25
23,7,1.44,10,0.34146341463414637,0.08,209,20,301,0.25
24,12,1.4,10,0.22448979591836735,0.06,221,25,316,0.25
25,13,1.42,10,0.2826086956521739,0.08,234,28,333,0.25
26,13,1.32,9,0.2619047619047619,0.06,247,28,341,0.25
27,14,1.3,10,0.30952380952380953,0.08,261,30,356,0.25
28,13,1.26,10,0.3,0.08,274,35,372,0.25
29,7,1.26,10,0.2894736842105263,0.08,281,40,384,0.25
30,12,1.24,9,0.3157894736842105,0.08,293,41,396,0.25
31,7,1.28,10,0.38235294117647056,0.08,300,44,408,0.25
32,7,1.2,10,0.35294117647058826,0.06,307,50,417,0.25
33,7,1.32,10,0.24390243902439024,0.08,314,52,432,0.25
34,13,1.18,10,0.3888888888888889,0.08,327,58,444,0.25
35,6,1.2,10,0.29411764705882354,0.08,333,62,455,0.25
36,9,1.26,9,0.23076923076923078,0.04,342,62,467,0.25
37,7,1.38,10,0.2926829268292683,0.1,349,62,480,0.25
38,10,1.32,10,0.2564102564102564,0.08,359,63,488,0.25
39,12,1.26,10,0.2631578947368421,0.08,371,65,499,0.25
40,9,1.34,10,0.225,0.1,380,66,513,0.25
41,8,1.36,10,0.275,0.06,388,69,525,0.25
42,9,1.3,10,0.225,0.06,397,72,534,0.25
43,8,1.36,10,0.2972972972972973,0.08,405,73,546,0.25
44,12,1.36,10,0.2631578947368421,0.08,417,75,560,0.25
45,10,1.3,10,0.3125,0.08,427,76,568,0.25
46,9,1.36,10,0.2564102564102564,0.08,436,78,582,0.25
47,7,1.34,10,0.3142857142857143,0.08,443,81,591,0.25
48,10,1.4,10,0.35135135135135137,0.08,453,84,607,0.25
49,9,1.34,10,0.1794871794871795,0.08,462,87,616,0.25
50,16,1.24,10,0.225,0.08,478,89,629,0.25
51,10,1.18,10,0.21212121212121213,0.04,488,92,639,0.25
52,6,1.18,9,0.32142857142857145,0.06,494,92,645,0.25
53,7,1.2,10,0.28125,0.04,501,94,655,0.25
54,7,1.32,10,0.23076923076923078,0.1,508,96,670,0.25
55,7,1.38,10,0.25,0.08,515,99,683,0.25
56,11,1.44,10,0.2926829268292683,0.08,526,101,699,0.25
57,9,1.44,10,0.2926829268292683,0.08,535,103,710,0.25
58,9,1.48,10,0.3181818181818182,0.06,544,107,725,0.25
59,12,1.3,10,0.24390243902439024,0.08,556,110,731,0.25
60,12,1.24,10,0.34285714285714286,0.06,568,111,741,0.25
61,7,1.24,10,0.3870967741935484,0.06,575,112,749,0.25
62,12,1.18,10,0.35294117647058826,0.06,587,114,760,0.25
63,10,1.16,10,0.21052631578947367,0.06,597,119,774,0.25
64,7,1.16,10,0.2222222222222222,0.06,604,123,785,0.25
65,9,1.02,10,0.25,0.06,613,126,790,0.25
66,6,1.14,10,0.28125,0.06,619,127,803,0.25
67,7,1.12,10,0.3333333333333333,0.06,626,130,812,0.25
68,8,1.1,10,0.2857142857142857,0.06,634,134,823,0.25
69,8,1.04,10,0.24242424242424243,0.06,642,135,829,0.25
70,11,1.02,9,0.2,0.06,653,136,840,0.25
71,11,1.04,9,0.19444444444444445,0.06,664,137,853,0.25
72,7,1.12,9,0.2,0.04,671,137,864,0.25
73,6,1.24,9,0.3055555555555556,0.06,677,137,876,0.25
74,8,1.22,9,0.21428571428571427,0.08,685,139,885,0.25
75,13,1.18,9,0.17777777777777778,0.06,698,141,898,0.25
76,10,1.14,9,0.34375,0.06,708,142,907,0.25
77,12,0.98,9,0.3103448275862069,0.06,720,143,912,0.25
78,7,1.08,10,0.3125,0.06,727,145,926,0.25
79,6,1.2,10,0.25,0.06,733,148,941,0.25
80,7,1.3,10,0.20930232558139536,0.06,740,150,955,0.25
81,9,1.22,10,0.21621621621621623,0.06,749,152,962,0.25
82,11,1.2,9,0.34375,0.04,760,152,972,0.25
83,6,1.34,10,0.35294117647058826,0.06,766,152,985,0.25
84,10,1.24,9,0.2777777777777778,0.04,776,152,990,0.25
85,9,1.36,10,0.2894736842105263,0.04,785,152,1005,0.25
86,9,1.32,10,0.28205128205128205,0.06,794,155,1015,0.25
87,7,1.44,10,0.358974358974359,0.06,801,158,1031,0.25
88,12,1.44,10,0.32608695652173914,0.06,813,162,1047,0.25
89,13,1.3,10,0.375,0.06,826,166,1057,0.25
90,8,1.24,10,0.2702702702702703,0.08,834,170,1066,0.25
91,8,1.28,10,0.3235294117647059,0.08,842,174,1080,0.25
92,9,1.3,10,0.3611111111111111,0.06,851,177,1093,0.25
93,9,1.24,10,0.37142857142857144,0.06,860,181,1103,0.25
94,12,1.16,10,0.21951219512195122,0.06,872,184,1114,0.25
95,7,1.24,10,0.21428571428571427,0.06,879,187,1128,0.25
96,10,1.34,10,0.2558139534883721,0.06,889,188,1144,0.25
