generated,delivered,dropped,rejected_at_admission,delivery_ratio,mean_latency,mean_queue_len,max_queue_len,prop_congested_edges,prop_congested_nodes,total_delivered_throughput,n_congestion_episodes,mean_recovery_time_steps,scenario,control_enabled,seed
1226,1209,0,0,0.9861337683523654,2.933829611248966,0.23906666666666665,5,0.08132720857150458,0.0,1209,0,0.0,baja,False,1000
1233,1220,0,0,0.9894566098945661,2.369672131147541,0.1946,4,0.06640773364921972,0.0,1220,0,0.0,baja,False,1001
1197,1184,0,0,0.9891395154553049,2.3842905405405403,0.1898,5,0.059468590992197805,0.0,1184,0,0.0,baja,False,1002
1165,1146,0,0,0.9836909871244636,2.670157068062827,0.2074,6,0.05791625401029426,0.0,1146,0,0.0,baja,False,1003
1190,1183,0,0,0.9941176470588236,2.9543533389687235,0.23393333333333335,4,0.059710722285745844,0.0,1183,0,0.0,baja,False,1004
1236,1221,1,0,0.9878640776699029,3.0122850122850124,0.24746666666666664,10,0.0960377858725382,0.0004666666666666667,1221,0,0.0,baja,False,1005
1208,1196,0,0,0.9900662251655629,2.3603678929765888,0.18986666666666666,4,0.05640599756853626,0.0,1196,0,0.0,baja,False,1006
1187,1181,0,0,0.9949452401010952,3.0101608806096527,0.23786666666666667,6,0.07443547168707015,0.0,1181,0,0.0,baja,False,1007
1237,1227,0,0,0.9919159256265158,2.619396903015485,0.21546666666666667,4,0.07175015856687346,0.0,1227,0,0.0,baja,False,1008
1217,1203,0,0,0.9884963023829088,3.0374064837905235,0.2462,5,0.0764537026828284,0.0,1203,0,0.0,baja,False,1009
1228,1212,0,0,0.9869706840390879,2.815181518151815,0.22920000000000001,7,0.0678223271110268,0.0,1212,0,0.0,baja,True,1000
1233,1223,0,0,0.991889699918897,2.2624693376941947,0.18593333333333334,4,0.059195225153816484,0.0,1223,0,0.0,baja,True,1001
1202,1187,0,0,0.9875207986688852,2.3521482729570344,0.18853333333333333,5,0.054025914702772286,0.0,1187,0,0.0,baja,True,1002
1177,1165,0,0,0.989804587935429,2.6635193133047212,0.2088,4,0.05941618585233137,0.0,1165,0,0.0,baja,True,1003
1192,1182,0,0,0.9916107382550335,2.994077834179357,0.2378,5,0.0648158430893725,0.0,1182,0,0.0,baja,True,1004
